RX Date/Time,Voltage(field 1)
2023/07/18/ 10:23:30::909,43381,2.75
2023/07/18/ 10:23:30::910,43407,2.73
2023/07/18/ 10:23:30::910,43432,2.73
2023/07/18/ 10:23:30::911,43458,2.78
2023/07/18/ 10:23:30::911,43484,2.57
2023/07/18/ 10:23:30::911,43509,2.49
2023/07/18/ 10:23:30::911,43304,2.61
2023/07/18/ 10:23:30::912,43330,2.35
2023/07/18/ 10:23:30::912,43356,2.59
2023/07/18/ 10:23:30::912,43381,2.75
2023/07/18/ 10:23:30::912,43407,2.73
2023/07/18/ 10:23:30::912,43432,2.73
2023/07/18/ 10:23:30::913,43458,2.78
2023/07/18/ 10:23:30::913,43484,2.57
2023/07/18/ 10:23:30::913,43509,2.49
2023/07/18/ 10:23:30::913,43304,2.61
2023/07/18/ 10:23:30::913,43330,2.35
2023/07/18/ 10:23:30::914,43356,2.59
2023/07/18/ 10:23:30::914,43381,2.75
2023/07/18/ 10:23:30::914,43407,2.73
2023/07/18/ 10:23:30::914,43432,2.73
2023/07/18/ 10:23:30::914,43458,2.78
2023/07/18/ 10:23:30::915,43484,2.57
2023/07/18/ 10:23:30::915,43509,2.49
2023/07/18/ 10:23:30::915,43535,2.86
2023/07/18/ 10:23:30::919,43560,2.96
2023/07/18/ 10:23:31::034,43587,2.35
2023/07/18/ 10:23:31::035,43613,2.62
2023/07/18/ 10:23:31::035,43638,2.64
2023/07/18/ 10:23:31::035,43664,2.78
2023/07/18/ 10:23:31::108,43689,2.90
2023/07/18/ 10:23:31::108,43715,2.78
2023/07/18/ 10:23:31::108,43741,2.92
2023/07/18/ 10:23:31::164,43766,2.67
2023/07/18/ 10:23:31::165,43792,2.78
2023/07/18/ 10:23:31::228,43817,2.38
2023/07/18/ 10:23:31::228,43843,2.28
2023/07/18/ 10:23:31::291,43869,2.50
2023/07/18/ 10:23:31::291,43894,2.64
2023/07/18/ 10:23:31::291,43921,2.41
2023/07/18/ 10:23:31::361,43947,2.65
2023/07/18/ 10:23:31::361,43972,2.69
2023/07/18/ 10:23:31::361,43998,2.55
2023/07/18/ 10:23:31::395,44023,3.04
2023/07/18/ 10:23:31::410,44049,2.58
2023/07/18/ 10:23:31::435,44075,2.63
2023/07/18/ 10:23:31::459,44100,2.72
2023/07/18/ 10:23:31::484,44126,2.78
2023/07/18/ 10:23:31::515,44151,2.60
2023/07/18/ 10:23:31::538,44177,2.77
2023/07/18/ 10:23:31::562,44203,2.64
2023/07/18/ 10:23:31::586,44229,2.23
2023/07/18/ 10:23:31::615,44255,2.68
2023/07/18/ 10:23:31::644,44280,2.96
2023/07/18/ 10:23:31::664,44306,2.73
2023/07/18/ 10:23:31::690,44332,2.67
2023/07/18/ 10:23:31::718,44357,2.54
2023/07/18/ 10:23:31::746,44383,2.57
2023/07/18/ 10:23:31::767,44408,2.63
2023/07/18/ 10:23:31::791,44434,2.75
2023/07/18/ 10:23:31::819,44460,2.64
2023/07/18/ 10:23:31::844,44485,2.51
2023/07/18/ 10:23:31::869,44511,2.70
2023/07/18/ 10:23:31::899,44536,2.80
2023/07/18/ 10:23:31::922,44563,2.54
2023/07/18/ 10:23:32::007,44589,2.11
2023/07/18/ 10:23:32::008,44614,2.54
2023/07/18/ 10:23:32::008,44640,2.72
2023/07/18/ 10:23:32::043,44665,2.83
2023/07/18/ 10:23:32::049,44691,2.43
2023/07/18/ 10:23:32::078,44717,2.52
2023/07/18/ 10:23:32::102,44742,2.50
2023/07/18/ 10:23:32::126,44768,2.69
2023/07/18/ 10:23:32::152,44793,2.39
2023/07/18/ 10:23:32::177,44819,2.27
2023/07/18/ 10:23:32::205,44845,2.56
2023/07/18/ 10:23:32::227,44871,2.61
2023/07/18/ 10:23:32::253,44897,2.23
2023/07/18/ 10:23:32::279,44922,2.57
2023/07/18/ 10:23:32::308,44948,2.86
2023/07/18/ 10:23:32::330,44974,2.72
2023/07/18/ 10:23:32::356,44999,2.43
2023/07/18/ 10:23:32::385,45025,2.60
2023/07/18/ 10:23:32::413,45050,2.69
2023/07/18/ 10:23:32::431,45076,2.83
2023/07/18/ 10:23:32::458,45102,2.64
2023/07/18/ 10:23:32::487,45127,2.70
2023/07/18/ 10:23:32::516,45153,2.56
2023/07/18/ 10:23:32::537,45178,2.76
2023/07/18/ 10:23:32::561,45205,2.56
2023/07/18/ 10:23:32::590,45231,2.63
2023/07/18/ 10:23:32::624,45256,2.84
2023/07/18/ 10:23:32::638,45282,2.57
2023/07/18/ 10:23:32::664,45307,2.74
2023/07/18/ 10:23:32::692,45333,2.72
2023/07/18/ 10:23:32::714,45359,2.31
2023/07/18/ 10:23:32::739,45384,2.53
2023/07/18/ 10:23:32::766,45410,2.62
2023/07/18/ 10:23:32::795,45435,2.60
2023/07/18/ 10:23:32::818,45461,2.83
2023/07/18/ 10:23:32::851,45487,2.55
2023/07/18/ 10:23:32::872,45513,2.29
2023/07/18/ 10:23:32::897,45539,2.87
2023/07/18/ 10:23:32::922,45564,2.57
2023/07/18/ 10:23:32::955,45590,2.64
2023/07/18/ 10:23:32::977,45616,2.59
2023/07/18/ 10:23:32::998,45641,2.69
2023/07/18/ 10:23:33::023,45667,2.58
2023/07/18/ 10:23:33::062,45692,2.76
2023/07/18/ 10:23:33::078,45718,2.45
2023/07/18/ 10:23:33::104,45744,2.72
2023/07/18/ 10:23:33::126,45769,2.60
2023/07/18/ 10:23:33::151,45795,2.51
2023/07/18/ 10:23:33::180,45821,2.59
2023/07/18/ 10:23:33::205,45847,2.73
2023/07/18/ 10:23:33::228,45873,2.88
2023/07/18/ 10:23:33::255,45898,2.68
2023/07/18/ 10:23:33::283,45924,2.84
2023/07/18/ 10:23:33::307,45949,2.66
2023/07/18/ 10:23:33::332,45975,2.94
2023/07/18/ 10:23:33::357,46001,2.61
2023/07/18/ 10:23:33::390,46026,2.46
2023/07/18/ 10:23:33::412,46052,2.67
2023/07/18/ 10:23:33::432,46077,2.76
2023/07/18/ 10:23:33::462,46103,2.64
2023/07/18/ 10:23:33::501,46129,2.44
2023/07/18/ 10:23:33::510,46155,2.65
