RX Date/Time,A0(field 1),A1(field 2),A2(field 3),A3(field 4)
2023/07/10/ 11:23:46::097,716,2,0.29,0.29,0.30,0.35,1.00,1.34
2023/07/10/ 11:23:46::488,1126,3,0.30,0.29,0.30,0.36,0.81,1.40
2023/07/10/ 11:23:46::974,1536,4,0.29,0.29,0.30,0.36,0.98,1.11
2023/07/10/ 11:23:47::309,1946,5,0.29,0.29,0.30,0.36,0.88,1.52
2023/07/10/ 11:23:47::723,2356,6,0.29,0.29,0.30,0.36,0.87,1.22
2023/07/10/ 11:23:48::134,2765,7,0.29,0.29,0.30,0.35,0.97,1.12
2023/07/10/ 11:23:48::546,3175,8,0.29,0.29,0.30,0.36,0.88,1.76
2023/07/10/ 11:23:48::961,3586,9,0.30,0.28,0.31,0.36,1.00,1.22
2023/07/10/ 11:23:49::374,3995,10,0.29,0.29,0.30,0.36,1.06,1.42
2023/07/10/ 11:23:49::787,4405,11,0.30,0.29,0.31,0.36,0.87,1.66
2023/07/10/ 11:23:50::200,4814,12,0.30,0.29,0.31,0.35,1.08,1.21
2023/07/10/ 11:23:50::613,5225,13,0.29,0.29,0.30,0.36,0.98,1.74
2023/07/10/ 11:23:51::027,5635,14,0.30,0.29,0.30,0.36,0.94,1.42
2023/07/10/ 11:23:51::439,6044,15,0.29,0.29,0.31,0.35,1.08,1.22
2023/07/10/ 11:23:51::852,6454,16,0.30,0.29,0.30,0.36,0.93,1.82
2023/07/10/ 11:23:52::263,6864,17,0.30,0.29,0.31,0.36,0.99,1.31
2023/07/10/ 11:23:52::677,7274,18,0.29,0.29,0.30,0.36,1.07,1.32
2023/07/10/ 11:23:53::091,7684,19,0.30,0.29,0.30,0.36,0.87,1.75
2023/07/10/ 11:23:53::505,8093,20,0.30,0.28,0.31,0.36,1.06,1.21
2023/07/10/ 11:23:53::916,8504,21,0.29,0.29,0.30,0.36,1.01,1.64
2023/07/10/ 11:23:54::328,8913,22,0.30,0.29,0.30,0.36,0.91,1.50
2023/07/10/ 11:23:54::746,9323,23,0.30,0.29,0.31,0.35,1.09,1.22
2023/07/10/ 11:23:55::156,9733,24,0.30,0.29,0.30,0.36,0.94,1.80
2023/07/10/ 11:23:55::568,10143,25,0.30,0.29,0.31,0.36,0.97,1.33
2023/07/10/ 11:23:55::979,10553,26,0.30,0.28,0.31,0.36,1.07,1.24
2023/07/10/ 11:23:56::392,10962,27,0.30,0.29,0.30,0.36,0.90,1.81
2023/07/10/ 11:23:56::809,11373,28,0.30,0.28,0.31,0.35,1.01,1.24
2023/07/10/ 11:23:57::220,11783,29,0.29,0.29,0.30,0.36,1.06,1.45
2023/07/10/ 11:23:57::633,12192,30,0.29,0.29,0.30,0.36,0.88,1.66
2023/07/10/ 11:23:58::045,12602,31,0.30,0.29,0.31,0.35,1.08,1.20
2023/07/10/ 11:23:58::458,13012,32,0.29,0.29,0.31,0.36,0.98,1.73
2023/07/10/ 11:23:58::872,13422,33,0.30,0.28,0.31,0.36,0.93,1.44
2023/07/10/ 11:23:59::284,13832,34,0.30,0.29,0.31,0.35,1.08,1.22
2023/07/10/ 11:23:59::698,14242,35,0.30,0.29,0.31,0.36,0.93,1.81
2023/07/10/ 11:24:00::106,14652,36,0.30,0.29,0.31,0.36,0.98,1.33
2023/07/10/ 11:24:00::522,15062,37,0.29,0.29,0.31,0.36,1.06,1.26
2023/07/10/ 11:24:00::936,15472,38,0.29,0.29,0.31,0.36,0.88,1.64
2023/07/10/ 11:24:01::324,15882,39,0.30,0.29,0.31,0.36,0.90,1.15
2023/07/10/ 11:24:01::732,16291,40,0.30,0.29,0.31,0.35,1.02,1.42
2023/07/10/ 11:24:02::151,16702,41,0.30,0.29,0.31,0.36,0.87,1.65
2023/07/10/ 11:24:02::589,17112,42,0.30,0.29,0.31,0.35,1.08,1.20
2023/07/10/ 11:24:03::001,17521,43,0.30,0.29,0.31,0.36,0.94,1.39
2023/07/10/ 11:24:03::414,17931,44,0.30,0.29,0.31,0.36,0.80,1.23
2023/07/10/ 11:24:03::827,18341,45,0.30,0.29,0.31,0.35,1.01,1.11
2023/07/10/ 11:24:04::239,18751,46,0.30,0.29,0.30,0.36,0.92,1.78
2023/07/10/ 11:24:04::651,19161,47,0.30,0.29,0.31,0.36,0.97,1.31
2023/07/10/ 11:24:05::064,19571,48,0.29,0.28,0.31,0.35,1.08,1.28
2023/07/10/ 11:24:05::478,19981,49,0.30,0.29,0.31,0.36,0.82,1.43
2023/07/10/ 11:24:05::875,20390,50,0.30,0.29,0.31,0.35,0.86,1.08
2023/07/10/ 11:24:06::305,20801,51,0.30,0.29,0.31,0.36,1.00,1.46
2023/07/10/ 11:24:06::719,21211,52,0.30,0.28,0.31,0.36,0.87,1.61
